"",".beta.-copaene",".beta.-Myrcene",".beta.-Ocimene","(-)-.beta.-Bourbonene","(1R)-2,6,6-Trimethylbicyclo[3.1.1]hept-2-ene","(E)-4,8-Dimethylnona-1,3,7-triene","[1,1'-Bicyclopentyl]-2-ol","1-Pentene, 5-(2,2-dimethylcyclopropyl)-2-methyl-4-methylene-","1,5,7-Octatrien-3-ol, 2,6-dimethyl-","1,7-Octadien-3-one, 2-methyl-6-methylene-","2-Undecenal","2,6-Dimethyl-3,5,7-octatriene-2-ol, ,E,E-","7-Oxabicyclo[4.1.0]heptane, 1-methyl-4-(2-methyloxiranyl)-","Bicyclo[3.1.0]hexane, 4-methylene-1-(1-methylethyl)-","Butanoic acid, 2-methyl-","Butanoic acid, 3-hexenyl ester, (Z)-","Caryophyllene","Cyclohexane, 1-ethenyl-1-methyl-2,4-bis(1-methylethenyl)-, [1S-(1.alpha.,2.beta.,4.beta.)]-","Cyclohexane, 1-methylene-4-(1-methylethenyl)-","Cyclopentanone","Hexanal","trans-.beta.-Ocimene"
"Aster1_floral_ALP.qgd",6394232,23115578,738377,2576893,853708,35384644,0,1909378,945749,1719995,0,1186693,1693493,25385194,245789,828403,3968763,1036162,1378695,2516245,792110,260095
"Aster2_floral_AFM.qgd",1111752,6116744,650743,852065,705892,5483853,0,465026,255193,543399,289680,333332,415639,15470675,715762,123281,553710,364597,758782,747311,449534,77696
"Aster3_floral_AFM.qgd",0,0,0,0,0,0,0,0,0,0,726617,0,0,0,38733,0,0,0,0,0,0,0
"Lupine1_floral_AFM.qgd",0,91880,0,0,0,0,0,0,0,0,174908,0,0,0,52280,0,0,0,0,0,0,0
"Lupine2_floral_ALP.qgd",0,7293688,1985690,0,51237,0,513439,0,418798,678827,0,588315,0,212522,30555,0,0,0,0,853817,548083,534161
"Lupine3_floral_ALP.qgd",0,345991,1793192,0,0,0,206371,0,0,0,0,0,0,0,0,0,102593,0,0,2505423,775359,1368256
